what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493555962027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493555963307
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493555965944
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556018444
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493556019946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556023699
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556028513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556028526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556029504
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556029879
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556034057
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556034082
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556456949
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556465842
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556466961
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1493556469952
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556471343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556500364
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493556501050
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493556503423
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1493556519464
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493556524750
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493556532284
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493556541751
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493556588609
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493556600021
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493556612848
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493556616653
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493556626930
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493556629941
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493556635614
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493556638650
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493556642019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556658652
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556929525
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493556983584
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493556986622
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557049843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557054981
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557059826
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557061213
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557075125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557087044
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557089581
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557122436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557176419
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557185999
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557219825
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1493557228115
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557229028
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493557246475
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557275471
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493557289396
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557297580
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1493557300759
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557301559
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.format",1493557327927
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557328530
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493557332799
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557369211
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1493557380314
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1493557388225
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1493557390078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557429983
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1493557438738
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1493557442052
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557442553
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557446468
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1493557462036
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1493557463873
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557472117
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557480822
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557554414
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557557709
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557643410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557648229
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557660981
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557688183
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1493557693616
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1493557695281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557700324
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557704264
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557710530
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1493557713914
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493557728526
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557731590
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557732975
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557737022
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493557748133
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1493557764760
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493557770959
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493557772510
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493558146629
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1493558159625
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493558166821
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493558181047
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493558186281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1493558188203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1493558189821
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493558194649
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493558202770
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493558208386
