what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1493698834939
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1493698835048
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1493698835050
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1493698835154
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1493698835155
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1493698835178
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1493698835179
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1493698835179
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1493698835186
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1493698835200
os,sysinfo,,,"win32",1493698835205
arch,sysinfo,,,"x86",1493698835205
ws,sysinfo,,,"win32",1493698835205
locale,sysinfo,,,"en_US",1493698835205
processors,sysinfo,,,"2",1493698835205
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1493698835205
java.runtime.version,sysinfo,,,"1.8.0_131-b11",1493698835205
java.specification.name,sysinfo,,,"Java Platform API Specification",1493698835205
java.specification.vendor,sysinfo,,,"Oracle Corporation",1493698835205
java.specification.version,sysinfo,,,"1.8",1493698835205
java.vendor,sysinfo,,,"Oracle Corporation",1493698835205
java.version,sysinfo,,,"1.8.0_131",1493698835205
java.vm.info,sysinfo,,,"mixed mode",1493698835205
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1493698835205
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1493698835205
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1493698835205
java.vm.specification.version,sysinfo,,,"1.8",1493698835205
java.vm.vendor,sysinfo,,,"Oracle Corporation",1493698835205
java.vm.version,sysinfo,,,"25.131-b11",1493698835205
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1493698835259
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1493698835553
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1493698835859
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1493698836024
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1493698836603
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1493698836752
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1493698840080
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1493698840084
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1493698840836
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493698845147
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493698858945
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1493698861675
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493698861800
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493698862000
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1493698862395
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1493698869114
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1493698871676
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1493698871715
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493698872205
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493698879274
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493698897423
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1493698905235
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1493698905881
