what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1493389087651
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1493389087686
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1493389087726
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1493389087726
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1493389087727
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1493389087728
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1493389087729
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1493389087752
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1493389087754
os,sysinfo,,,"win32",1493389087757
arch,sysinfo,,,"x86",1493389087757
ws,sysinfo,,,"win32",1493389087757
locale,sysinfo,,,"en_US",1493389087757
processors,sysinfo,,,"2",1493389087757
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1493389087757
java.runtime.version,sysinfo,,,"1.8.0_131-b11",1493389087757
java.specification.name,sysinfo,,,"Java Platform API Specification",1493389087757
java.specification.vendor,sysinfo,,,"Oracle Corporation",1493389087757
java.specification.version,sysinfo,,,"1.8",1493389087757
java.vendor,sysinfo,,,"Oracle Corporation",1493389087757
java.version,sysinfo,,,"1.8.0_131",1493389087757
java.vm.info,sysinfo,,,"mixed mode",1493389087757
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1493389087757
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1493389087757
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1493389087757
java.vm.specification.version,sysinfo,,,"1.8",1493389087757
java.vm.vendor,sysinfo,,,"Oracle Corporation",1493389087757
java.vm.version,sysinfo,,,"25.131-b11",1493389087757
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1493389087901
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1493389087906
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1493389088503
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1493389088554
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1493389088773
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1493389088839
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1493389147335
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1493389147432
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1493389147511
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389155599
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389199370
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389202444
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389210143
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1493389212274
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1493389213424
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1493389217145
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1493389217149
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389217298
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389218948
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1493389218961
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1493389218961
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389220661
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389229736
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389233375
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389261315
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389262550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389269104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389277910
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389287848
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1493389287861
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389292948
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389302988
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389317397
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1493389327516
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389328403
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1493389330565
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493389330638
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1493389331100
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1493389331283
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493389331299
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1493389331351
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1493389338079
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493389347114
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1493389350436
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1493389352347
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493389352823
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493389369218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389375896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389377122
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1493389378441
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493389384723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389388428
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389501550
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493389512997
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493389519284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389538079
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389539363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493389545325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390013761
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390038068
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390059558
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390075778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390267804
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390289466
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390415615
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493390421954
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390431284
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390441716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390475221
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390742626
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1493390869706
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493390880916
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394413177
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394452095
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394454539
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394455211
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394458394
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394461723
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394466455
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493394484480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394487260
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394489327
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394489967
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394539176
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493394551784
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394554668
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394556171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394556980
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394619627
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493394626855
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493394651337
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493394689082
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493394693868
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1493394697082
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1493394698372
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1493394699084
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493394707284
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1493394712553
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1493394712578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1493394720832
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493394726132
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493394734623
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493394741487
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1493394767380
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1493394769156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1493394770100
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1493394775657
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1493394776723
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394789870
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394791661
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493394827243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493395803331
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493395809465
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493395813003
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493395821213
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493395828633
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493395835092
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493395844974
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493395858791
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493395864173
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493395878618
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493395896989
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493395901295
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493396115764
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1493396119050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493396171840
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493396464047
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493396465300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397261423
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397262666
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397436178
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493397444856
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397445519
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397528881
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1493397538244
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397541446
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397598835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397623532
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397626232
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493397635475
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493397639477
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493397644674
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493397650450
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397654045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397655654
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1493397668485
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1493397671081
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1493397674187
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1493397677004
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1493397685657
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397697317
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397698768
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397699947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1493397733441
